	input
7262	Yongeye atiUbu nibayisenya hari abana bareka kwiga, ubu tugiye guhomba amafaranga arenga miliyoni 2, igiye gusenywa kuko bitajyanye n’uko umujyi ukwiye kuba umeze, kandi twe nta bushobozi twari dufite.
7263	Ugutorwa k’u Rwanda ni indi ntambwe yerekana uruhare rufite muri gahunda z’iterambere za Loni.
7264	rw akaba n’umuyobozi wa zone ya 3 ihinga umuceli aho mu murenge wa Rubona,witwa Sinigaya Teresphore.
7265	Perezida Omar Guelleh yagize ati Mugomba kwagura inshingano zanyu, mukarwanya iterabwoba aho rigaragaye, mukarwanya ibiza ndetse mugaharanira kubahiriza amategeko.
7266	Ibi bikorwa hifashishijwe ubutumwa bugufi ukoresheje terefone umurongo wa MTN mu buryo bukurikira.
7267	Iyi nama iherutse kubera mu Rwanda umwaka wa 2013 aho U Rwanda rwungutse ishoramari rya miliyoni 150 z’ amadolari ya Amerika mu myaka ibiri ishize.
7268	Uyu mukecuru yemeza ko itangazamakuru rifasha mu gukemura ibibazo by’abaturage rikageza ijwi ryabo aho batabasha kurigeza.
7269	Nk’uko Igisirikare cy’u Rwanda cyabitangaje iyi myitozo yiswe Amani Africa II izatangira kuwa 17 Ukwakira, ibere mu kigo cy’imyitozo y’igisirikare cy’Afurika y’Epfo South Africa Army Combat Training Centre CTC.
7270	rw ukorera mu karere ka Bugesera yahageraga yasanze aba bagabo bombi bibye amatiyo y’amazi ndetse n’ibindi bikoresho by’abaturage.
7271	Umuyobozi w’Akarere ka Nyarugenge Mme Mukasonga Solange Mu butumwa bwatanzwe na Maj.
7272	Bagiye gusimbura abandi bapolisi bari bamazeyo umwaka nabo babungabunga amahoro muri iki gihugu.
7273	Iyi midari y’ishimwe bayambitswe kubera ko bakora akazi kabo neza.
7274	Aya makuru akubiye mu itangazo rya Minisiteri y’Ubucuruzi n’Inganda igiciro kikaba cyari gisanzwe ari amafaranga 920 kuri litiro, bisobanuye ko hagabanutseho amafaranga 32.
7275	Icyishaka agira inama abandi bakobwa ko bagomba gutinyuka bakumva ko byose babishoboye ndetse bakigirira ikizere bakiga nk’ibyo basaza babo biga.
7276	Nubwo aba babiri bashinjwa bahakana ibyaha bashinjwa, Polisi iremeza ko uyu mugore ari we wagiye kwerekana aho iyo mashini iri mu Karere ka Kamonyi, ariko inzego z’umutekano zisanga.
7277	Uyu muryango uravuga ko ruswa mu itangazamakuru ry’u Rwanda iteye inkeke.
7278	Reiner ukomoka mu Ntara ya Rhenanie Paratinat isanzwe ifitanye umubano ukomeye n’u Rwanda yatangarije ibi mu Karere ka Huye mu ishuri rikuru ryigisha ubumenyingiro, IPRC SOUTH.
7279	Ikibuga cy’izi ndege kiramutse cyubatswe mu Rwanda, indege imwe ishobora kujyana ibintu ahantu hari ibirometero ijana ku buntu, nta esanse, nta mavuta, nta n’ibimodoka bikururra.
7280	Yahamagariye kandi abaturage kuba ijisho ry’abaturanyi babo, haba ku bikorwa byabo, mu ngo n’ahandi.
7281	Aho U Rwanda ruzakoresha aya mafaranga mu gihe cy’imyaka ine, muri gahunda yarwo y’uburezi kuri bose.
7282	Amwe muri ayo mahoteli arimo Eldorado, Alpha Palace, Carl Hotel, Grace Apartments, Gulf Hotel, Eden Hill Hotel, Karisimbi Hotel na Sinai Suites.
7283	Polisi y’u Rwanda mu karere ka Gasabo yafashe ibikoresho byose yibwe n’ibihumbi 20 by’amafaraga y’u Rwanda mu yari yibwe andi akaba agishakishwa.
7284	Ibi,abivuze nyuma y’aho abadepite bahaye inka umusaza witwa Nzabandora Pascal, utuye mukarere ka Ngoma Umurenge wa Kibungo Akagali ka Cyasemakamba Umuduguduwa Gatoro.
7285	Ni nyuma yaho abo bakora umwuga w’ubwubatsi bari bibumbiye mu ishyirahamwe ryitwa KWATEBU.
7286	Rero mu bantu Africa ifite bafite ubutunzi cyane n’abayobozi b’ibihugu baza kurutonde rw’abakire Africa ifite.
7287	Imodoka zakoreshaga uyu muhanda ubu zatangiye gukoresha indi nzira.
7288	Yavuze ko kudaheranwa n’ibyo banyuzemo bigaragara nk’ibirenze ubwenge bwa muntu, byateye imbaraga n’ibitekerezo abayobozi b’igihugu, bakabitura kubaha inzu nziza z’amasaziro.
7289	Abo bakobwa baganirijwe ku guhitamo amasomo atandukanye arebana n’Ubumenyi, Ikoranabuhanga, Engineering n’Imibare STEM n’uburyo bwo gukoresha neza imbuga nkoranyambaga, ibintu bibiri by’ingenzi mu guteza imbere urubyiruko.
7290	Muri iki gishanga hateguriwe umushinga wo kugihindura ahantu nyaburanga eco-tourism park, abantu bashobora kuruhukira, gukorera imyidagaduro ndetse bakanahavoma amwe mu mateka yo mu Rwanda rwo hambere.
7291	Mukarugwiza Annonciata Visi Perezida wa Komisiyo y’ingengo y’imari yagejeje kuri bagenzi be iby’uyu mushinga mbere y’uko Minisitiri Gatete nawe awuvugaho bicye.
7292	Abafashwe barimo kuyacukura mu mirima y’abaturage n’ibyanya bya Leta biri mu Kagari ka Matunguru, Umurenge wa Rugarama.
7293	Urukiko rwategetse ko uyu mushoramari yishyura Minisiteri y’Ubuhinzi n’Ubworozi amafaranga y’u Rwanda 322,520, 994, hakongerwaho 8 by’inyungu, yose hamwe akaba 430, 727, 712 Frw ndetse agafungwa imyaka irindwi.
7294	Umuvugizi wa Polisi mu ntara y’Uburengerazuba Chief Inspector of Police CIP Theobald Kanamugire, yavuze ko iyi modoka yafashwe kuko itari ifite impapuro ziyemerera gutwara amabuye y’agaciro.
7295	Claver Gatete, yamurikiye Inteko Ishinga Amategeko imitwe yombi, Umushinga w’Ingengo y’Imari y’umwaka wa 201718 aho yasobanuye ko yiyongereyeho miliyari 140.
7296	Aya masezerano yashyizweho umukono kuri uyu wa Mbere tariki 5 Kamena na Minisitiri w’Imari n’Igenamigambi ku ruhande rwa leta y’u Rwanda ari kumwe n’uhagarariye Banki y’Isi mu Rwanda.
7297	Ubuyobozi bw’aka karere bwo buvuga ko impamvu nyamukuru y’imurikabikorwa ari ukugirango abaturage ndetse n’abashyitsi bamenye ibikorerwa muri aka karere kabo.
7298	Ibi byose ngo bikaba bizagerwaho ku bufatanye n’umushinga wa Minisiteri y’Ubuhinzi n’ubworozi ugamije guteza imbere umukamo w’amata mu Rwanda RDDP Rwanda Dairly Development.
7299	police y’u Rwanda kandi iteganya gucanira imiryango ibihumbi 30 000 mu turere 30 mu gihugu.
7300	Ni amasezerano yashyiriweho umukono mu mujyi wa Bern, umurwa mukuru w’u Busuwisi, mu ruzinduko Minisitiri Mushikiwabo yagiriraga muri icyo gihugu.
7301	Minisitiri w’Ububanyi n’Amahanga akaba n’Umuvugizi wa Guverinoma, yabwiye itangazamakuru kuri gahunda ishyizwe imbere yo kugira igihugu gushyire inyubako hirya no hino aho gifite ibikorwa.
7302	Ati Urubyiruko rutari rwinshi ariko rufite imitekerereze igomba guhinduka kandi igahindurwa namwe bagenzi babo, rero nidukunda umurimo tukumva kandi tugashyira mu bikorwa gahunda za Leta byose bizagerwahoSrcUkwezi.
7303	Uyu munyamabanga muri Minisiteri y’urubyiruko n’ikoranabuhanga kandi yashimiye abafatanyabikorwa b’iki gikorwa bateguye ikigikorwa bakanagishyira mu bikorwa, ndetse abizeza ko bazakomeza gufatanya guteza imbere iki gikorwa.
7304	Bizimana yakomeje avuga ko nyuma yo kwishyira hamwe no guterwa inkunga ubu hari itandukaniro ku buzima bari babayeho mbere n’ubwo babayeho uyu munsi.
7305	Umukuru w’Igihugu yavuze ko ibihugu bya Afurika bikwiye gushyira ingufu mu guteza imbere imijyi kuko uyu mugabane ugifite abaturage benshi cyane batuye mu cyaro ugereranyije n’ahandi ku Isi.
7306	Iyi nama yatangijwe kuri uyu wambere muri Marriot Hotel ikoreshejwe n’umuryango wa Internet Society hamwe na Leta y’u Rwanda ndetse na UNESCO.
7307	James Gatera, umuyobozi mukuru wa sosiyete y’ishoramari Crystal Ventures avuga ko ibi bituruka ku buyobozi buhamye igihugu gifite.
7308	Guverineri w’Intara y’Uburasirazuba Kazayire Judith yasabye abikorera kugendera mu cyerekezo cy’igihugu batanga serivisi zinoze Yanditswe na Chief EditorMUHABURA.
7309	Ibintu n’abaturanyi be bavuga ko ariyo mbogamizi bahuriyeho ari naho bahera basaba ubuyobozi kubashakira uburyo babona umuriro w’amashanyarazi.
7310	Iki gikorwa cyateguwe no mu turere twose tugize Intara y’Uburasirazuba, kikaba gisojwe hatanzwe muri rusange inka 1,228.
7311	Ku itariki ya 3 Mata 2017 nibwo Dr Binagwaho wabaye Minisitiri w’Ubuzima imyaka itanu, yagizwe Umuyobozi wa Kaminuza ya UGHE.
7312	Euphrem Musonera Umuyobozi wa IPRC East Dipl.
7313	Ati Gushyigikira ko imiryango itari iya Leta igira uruhare ku ngengo y’imari y’akarere bityo ikarushaho kwinjira mu bikorwa by’amajyambere.
7314	Abaturage batuye mu gace iryo soko riherereyemo biganjemo abasheshakanguhe, basobanura ko ryatangiye kurema ku gihe cy’abakoloni b’Ababiligi mu myaka y’1960.
7315	Akomeza avugako hanubatswe hoteri ishingiye ku muco kugirango bakangurire abashoramari gushinga inganda ndanga muco no kongerare ubushobozi amakoperative ndanga muco ariho.
7316	Minisitri kandi yashingiye kuri zimwe muri kaminuza zitangira zijeje gutanga uburezi bufite ireme , nyamara hakorwa igenzura ugasanga aho gutera imbere ahubwo zisubira inyuma.
7317	Abaturage bagaragarije ubuyobozi ko bishimiye cyane ibi byiza n’iterambere budahwema kubagezaho ndetse banavuga ko by’umwihariko bashimira Perezida wa Repubulika Paul Kagame cyane ko ariwe uba yabatumye.
7318	Aya niyo ahanini yari agize iyi kaminuza iherereye mu karere ka Ruhango.
7319	Ariko kugirango izo service zigera kw’iterambere rirambye, hacyenewe ubufatanye bw’abikorera n’abafatanyabikorwa.
7320	Cyibwe ku itariki ya 27 z’ukwezi gushize, ari nabwo iperereza ryo kugishakisha ryahise ritangira.
7321	Iyi nguzanyo Banki y’Isi yayitanze binyuze mu Ishyirahamwe Mpuzamahanga ry’Iterambere International Development Association-IDA risanzwe ritera inkunga imishinga itandukanye.
7322	Ahaherereye iri soko ry’akarere ka Kayonza ni mu ihuriro ry’imihanda ibiri mpuzamahanga, harimo uva Kigali ugana Kagitumba ukomeza I Bugande n’uwa Kigali Rusumo ukomeza Tanzania.
7323	CIP Kanamugire yasabye abaturage kudatanga no kutakira ruswa, kandi abibutsa ko iki cyaha nta mwanya gifite muri Polisi y’u Rwanda ndetse no mu gihugu muri rusange.
7324	Ibyo bikoresho byafatiwe mu murenge wa Kimirongo uri mu karere ka Gasabo no mu murenge wa Nyarugenge wo mu karere ka Nyarugenge.
7325	’ Ubwo narabyemeye barabimpa, ndabikora, babyambika imodoka nuko barazenguruka bagarutse mu igaraji basanga nta kibazo gihari barongera barangerageza basanga nabwo nta kibazo, niko kunyemerera nkajya nkorana nabo.
7326	Izindi ni KWV Merlot, Courvoisie, Cinzano, BG, Smirnoff na Dragon’s Back.
7327	Abadepite bemeje ishingiro ry’umushinga w’itegeko rishyiraho amahoro ku bicuruzwa byatumijwe mu mahanga, agenewe ibikorwa by’Umuryango wa Afurika Yunze Ubumwe AU.
7328	Hari n’indi nyiramugengeri mu karere ka Gisagara mu gishanga cy’Akanyaru, no mu cya Rwabusoro aho Gisagara igabanira na Bugesera, mu turere twa Rulindo na Burera mu majyaruguru, n’ahandi igishakishwa.
7329	Abafite ubumuga ni bamwe mu badakunda kugerwaho na serivise zitandukanye bitewe n’uko mu minsi yashize basaga n’abibagiranye.
7330	Gusa bamwe mu badepite bagaragaje impungenge bafite mu bibazo byazavuka haramutse hatowe itegeko rishyiraho iki kigo.
7331	Ni inama yanitabiriwe n’Umunyamabanga mukuru w’Umuryango Mpuzamahanga w’itumanaho, Houlin Zhao.
7332	Muri aka karere haherutse kugaragara amanyanga yo gukoresha abarimu barenga ijana bahembwaga nyamara badakora, abandi bagahemberwa impamyabumenyi badafite.
7333	Agira ati Inyandiko ishobora gutuma umuntu atsinda cyangwa atsindwa.
7334	Uyu mugabo ufite imyaka 23 y’amavuko yafatiwe mu kagari ka Nengo, ho mu murenge wa Gisenyi ,ahagana saa moya z’ijoro ryo ku wa 16 uku kwezi.
7335	Izi kashe yafatanywe ni iz’ibigo bitandukanye bya Leta birimo amabanki, amashuri, ibigo by’ubutabera n’ibindi.
7336	Polisi y’u Rwanda mu turere twa Nyarugenge na Nyamasheke ifunze abagabo babibi bakekwaho kugerageza guha ruswa abayobozi b’inzego z’ibanze kugira ngo babakorere ibinyuranije n’amategeko.
7337	Bosco uhafungiye ku cyaha cyo kwenga no gucuruza inzoga zitemewe, akaba yari yafashwe ku italiki 5 Mutarama, bikaba bivugwa ko aba bombi bafatanyaga biriya bikorwa mbere y’uko Harerimana abifatirwamo.
7338	Yagize ati Ubucuruzi hagati y’u Buhinde n’u Rwanda burushaho kuzamuka, kandi hari amahirwe menshi cyane mu ishoramari no mu gushinga ibigo cy’ubucuruzi duhuriyeho.
7339	Biteganijwe kandi ko hazubakwa n’uruganda rukora insimburangingo zaba izikoze mu biti cyangwa izindi nsimburangingo zikozwe mu byuma nk’uko byagaragajwe n’abahagarariye uyu mushinga.
7340	Mu mwaka ushize wa 2016, Ubushinjacyaha bwatanze impapuro zigera kuri 200 zishakisha abantu batandukanye biganjemo abari mu bihugu bitandukanye bya Afurika, bicumbikiye abenshimubakekwahoibyaha kimwe n’ibihugu byo mu Burengerazuba bw’Isi.
7341	Yibukije ko kwigana no gukoresha amafaranga y’amahimbano ari icyaha gihanwa n’amategeko.
7342	Yagize ati twakurikiranye iyo modoka kugeza dufashe ba nyirayo ndetse n’ayo mabuye yari ipakiye.
7343	Mu gihe nta muzamu wari uhari rero, nibwo aba bajura baje bica ingufuri y’ahaba izi mudasobwa n’ibi byuma by’ikoranabuhanga.
7344	Eng Kalisa Jean Claude, yavuze ko ibiciro by’amashanyarazi byashyizweho hagendewe ku byiciro bya buri wese n’ingano y’amashanyarazi akoresha n’icyo ayakoresha.
7345	CSP Ndayambaje yavuze ko ku itariki ya 30 Ukwakira 2016, Hategekimana yibye Ayinkamiye Solange w’imyaka 37 wo mu murenge wa Gihundwe akarere ka Rusizi amadolari 4.
7346	REG iremeza ko bari gukora ibishoboka kugira ngo iki kibazo gikemuke kare.
7347	Kariza yavuze ko u Rwanda rushimishijwe no kwakira iyo nama ati Twishimiye kuzakira iyi nama, turasaba abazayitabira kuzatugezaho ibyo bifuza byose kugira ngo tuzabashe kuyitegura neza.
7348	Kompanyi y’abashinwa yitwa China Road Bridge Corporation niyo yatsindiye rino soko ryo kugwagura iyi mihanda inasinya ko izaba itangiye ibikorwa byo kubaka muri iyi Mutarama, 2017.
7349	Nkuko bigaragazwa n’itangazo ryashyizweho umukono na Minisitiri w’Ubutegetsi bw’Igihugu, Francis Kaboneka, yavuze ko umuganda w’uku kwezi uzakorerwa aho abantu batuye mu ngo zabo cyane hibandwa ku bikorwa by’isuku.
7350	EEU igizwe n’ibihugu bitanu birimo Armenia, Belarus, Kazakhstan, Kyrgyzstan n’u Burusiya, rikaba isoko ryagutse rigizwe n’abaturage basaga miliyoni 183 n’umutungo mbumbe wa tiriyali z’amadolari zisaga enye.
7351	yagize ati Ndakeka ntawagiraga ubwishingizi, nta kintu naramuye usibye telemusi, nabuze telefone nari nacaginze, imyenda yo kwambara, agafuka karimo amafaranga ntikije nk’ibintu by’ibihumbi 50.
7352	Uwambaje avuga ko nubwo koperative yashyizweho igamije guhindura imibereho y’abarimu, ntabwo ngo yakwemera guhomba amafaranga menshi kubera abarimu bamwe batoroka nyuma yo kubona inguzanyo.
7353	Nk’uko Polisi ikorera muri ako karere ibitangaza, uyu Munyaneza yari amaze igihe atwara iyi moto y’uwitwa Simparinka Innocent, ariko uko yayitwaraga akaba ari nako yayishakiraga umuguzi.
7354	Muri aya marushanwa hakorwaga isuzuma ry’uko imirenge yitwara mu kugira isuku n’umutekano kurusha indi.
7355	Ibi bituma bamwe mu banyeshuri bishakamo ubushobozi kugira ngo babashe kwibeshaho, bishyura icumbi, ibyo kurya, amafaranga y’ingendo z’aho bakorera n’ibindi, byose bemeza ko bibagora cyane.
7356	Ingamba zo guhangana n’icyo kibazo, zikubiye mu myanzuro y’inama yahuje ubuyobozi bw’iyo parike ndetse n’abafatanyabikorwa bayo,aho bemeje ko uzajya afatirwa muri parike azajya ahanirwa mu ruhame imbere y’abaturage.
7357	Turasabwa kudakorera ku ijisho ahubwo twubahirize amategeko y’umuhanda kugira ngo turengere ubuzima bwacu, ubw’abo dutwaye kuri moto, ndetse n’ubw’abandi bakoresha inzira nyabagendwa.
7358	Amaze gusubizwa amafaranga ye, Insanga yashimye Polisi y’u Rwanda muri aya magamboSinabona amagambo mvuga nshimira Polisi y’u Rwanda kubera ubunyamwuga bwayo.
7359	Ibi WASAC yabigaragarijwe na Komisiyo Ishinzwe Gukurikirana Imikoreshereze y’Imari n’Umutungo by’Igihugu PAC, ubwo yatangaga ibisobanuro ku makosa yagaragajwe na Raporo y’umugenzuzi w’imari, kuri uyu wa 30 Nzeri 2016.
7360	Abakekwa ni Claudien Nsabimana , Dismas Ndisanze bombi b’arabashoferi na Eric Mwumvaneza w’umukanishi, bose ejo beretswe itangazamakuru, ku kigo kigenzura ubuziranenge bw’ibinyabiziga cyiri i Remera.
7361	Andi makosa ni ay’abantu ku giti cyabo, n’ibibazo by’imiyoborere byagiye birangwa no kudahuza igenamigambi mu buyobozi kugira ngo hirindwa ibyo bihombo byose.
7362	Ati Nta mpungenge z’uko ayo mafaranga rwose ari umuntu ku giti cye wayanyereje, ni amafaranga y’imyenda hagati y’ibigo bya Leta kandi yarishyuwe.
7363	Ibi ni ibyatangajwe na BARINDA Anastase Perezida wa njyanama y’akarere ka Kayonza mu kiganiro na MUHABURA.
7364	SP Hitayezu yagize ati Yababwiye ko yabona miliyoni imwe y’amafaranga y’u Rwanda, andi asigaye akayatanga nyuma.
7365	Abo 88 bafatiwe mu mikwabu yakozwe mu bihe bitandukanye muri iyi Ntara mu kwezi gushize ku bufatanye bwa Polisi y’u Rwanda n’izindi nzego zirimo igisirikare n’inzego z’ibanze.
7366	Ibi babyeruye ubwo bagezwagaho amakuru y’inyongera kuri raporo y’Umugenzuzi Mukuru w’Imari ya Leta 2014-2015 ku mikoreshereze y’umutungo w’igihugu, kuri uyu wa Mbere.
7367	Yongeyeho ko ubwo yakoraga ubugenzuzi yasanzwe amasoko y’ibikorwa bya leta 77 yararengeje igihe ntarengwa yari yashyiriweho, naho andi masoko 61 afite agaciro ka miliyari 122.
7368	Ubu butumwa butanzwe kubera ko hari abayafatanwa hirya no hino mu gihugu.
7369	Ahandi ni mu karere ka Nyabihu, aho Nizeyimana J.
7370	Kurwanya ruswa biri mu byo Polisi y’u Rwanda yimirije imbere.
7371	Hafashwe Bangamwabo Martin, Nkurikiyinka Marc, Manirafasha Jotham na Nsekanabo Thomas, bakaba bafungiye kuri Sitasiyo ya Polisi ya Twumba mu gihe iperereza ku byo bakurikiranweho rikomeje.
7372	Abafashwe ni Gasajya Theogene w’imyaka 25 y’amavuko na Rutimbo Claude bivugwa baziguze n’ abashumba bazo bakazicisha inzira y’amazi bazizana mu murenge wa Fumbwe zafatiwemo.
7373	Umuvugizi wa Polisi y’u Rwanda mu Ntara y’Amajyepfo, Chief Inspector of Police CIP Andr Hakizimana yavuze ko abo bayobozi bafashwe nyuma y’iperereza ryimbitse kuri icyo cyaha bakurikiranweho.
7374	Aba bacuruzi usanga batunga agatoki abanyamahanga bazwi ku izina ry’Abamasayi baturuka mu bihugu by’abaturanyi bacuruza inkweto ndetse n’ibindi, aho usanga bo baba bacuruza ntacyo bishisha, nyamara umunyarwanda agacuruza yikandagira.
7375	abayikoraga bakaba bavuga ko batazi icyateye iyi mpanuka kuko na bo babonye umuriro waka bakihutira kuyiva munsi.
7376	Asobanura uko Bizimana yabigenje,Umubyeyi we witwa Ikimbareba Mariane yahaye umunani w’ubutaka abana be icyenda Harimo na Bizimana.
7377	Yagize ati ku itariki ya 14 Nzeri nibwo iyi modoka izatangira gusuzuma imiterere y’ibinyabiziga mu Ntara y’I Burengerazuba n’abegeranye naho.
7378	Muri two ngo hari Ngoma, Gatsibo, Bugesera, Kirehe, Rwamagana, Kayonza na Nyagatare.
7379	rw ko batishimiye imibereho mibi babayemo biturutse ku mushahara muto ndetse no kubona inguzanyo bikabagora.
7380	Akabitanga ho ingwate, yo gufata inguzanyo, y’ ifumbire biciye mu matsinda muri SACCO ya Kirehe.
7381	Yavuze aya magambo ejo afungura ku mugaragaro isoko rya kijyambere ry’agaciro ka miliyoni 192 z’amafaranga y’u Rwanda, ryubatse muri Nyabugogo, mu karere ka Nyarugenge , rikaba ryarubakiwe abazunguzayi.
7382	Abakurikiranyweho iki cyaha ni Kilmany, Muyonga Abdoul, Uwokwizerwa Eric na Ndayisenga Emile.
7383	Aya mahugurwa akaba aje akurikira ayagiye ahabwa abandi bapolisi mu rwego rwo kwimakaza ihame ry’uburinganire muri Polisi y’u Rwanda.
7384	Umuvugizi w’iri shami, Chief Inspector of Police CIP Emmanuel Kabanda yasobanuye ko iki cyemezo kubera ko 60 ku ijana by’abakora ibi byombi ari abo mu Mujyi wa Kigali.
7385	Ntagengerwa afungiye kuri Sitasiyo ya Polisi ya Remera aho ngo kugira ngo afatwe ari ubuyobozi bwa CNLG bwamenyesheje Polisi.
7386	Nk’uko bitangazwa n’umuvugizi wa Polisi mu Mujyi wa Kigali, Superintendent of Police SP Emmanuel Hitayezu, ngo uyu mugore yabikuje amafaranga kuri konti y’uwitwa Hakizimana Josephine , ndetse ngo bakaba batanaziranye.
7387	George Williams Kayonga, mu’ikiganiro n’Abanyamakuru yavuze ko abantu bakwiye kwivanamo imyumvure y’uko umwuga w’ubworozi bw’inzuki waba ukorwa n’abakene gusa.
7388	Yavuze ko utwara amakara wese agomba kuba afite uruhushya ahabwa n’akarere ayakuramo, akaba nta n’urwo bari bafite.
7389	Biteganyijwe ko aba banyeshuri bari basanzwe bararangije ikoranabuhanga bakaba basanzwe bakora mu bigo bitandukanye bya Leta n’ibyigenga, bazerekeza mu Buyapani tariki 27 Kanama 2016.
7390	Mu gukora iyi raporo hibanzwe ku byiciro birimo ikoranabuhanga, ibikorwa remezo, guhanga udushya, korohereza abantu kubona serivisi z’imari, korohereza abantu gutangira ubucuruzi n’ibindi.
7391	Yavuze kandi atiNtitwakwemeza niba bapfuye cyangwa niba bakiri bazima, ariko itsinda ribishinzwe rirakora ibishoboka byose ngo bagere kuri abo bahuye n’iki kibazo.
7392	Iki gikorwa kandi cyitabiriwe n’Umuyobozi w’Umujyi wa Kigali, Monique Mukaruriza, umuyobozi mukuri wa Polisi y’u Rwanda, Inspector General of Police IGP Emmanuel K.
7393	Nzabonimpa, avuga ko hari igihe abaturage bahuraga n’impanuka zikomeye, ubutabazi bw’ibanze bugatinda kubageraho bamwe bakaba bashoboraga kuhatakariza ubuzima bitewe n’igihe bagerezwagaho imiti n’amaraso.
7394	rw, Manzi Clement Umuyobozi wa ZAG NUT yatubwiye ko iri murikagurishwa baryitzeho byinshi mu kuzamura izina ryabo ndetse anakomoza ku minsi iri murikagurishwa rizamara.
7395	Mu ijambo yagejeje ku banyarwanda bari babiri bifatanije nawe kuri uyu munsi, Minisitiri Uwacu Julienne yakomoje ku mateka y’uyu munsi w’Umuganura u Rwanda rwizihije kuri uyu wa Gatanu Kanama.
7396	Insanganyamatsiko y’umuganura muri uyu mwaka igira iti Twubakire ku muco, twiteze imbere, wanahujwe n’Iserukiramuco Nyafurika rya FESPAD.
7397	Umukuru w’Igihugu avuga ko ari aba banyeshuri barangije n’abandi bose, bazahurira ku isoko ry’umurimo kandi ari rito.
7398	Yabaciriye amarenga ko hari igihe bashobora kuzajya gushaka akazi bagasanga hari benshi cyane bagashaka, bikabasaba guhangana, rimwe na rimwe bakakabura.
7399	Ubu butumwa Minisitiri Murekezi yabugarutseho ubwo yari mu muganda udasanzwe wo gutangiza igihembwe cy’ihinga cya C, mu karere ka Gatsibo.
7400	Iyi Minisiteri ivuga ko igiye kunononsora niba koko Ibiryabarezi bibangamiye abaturage, yasanga ari byo bigahagarikwa burundu.
7401	Abafunzwe ni Mutuyimana Gaspard, Habimana Jean Pierre, Nyabyenda Bonaventure, Nsengumuremyi Gabriel, Bamporiki Eric, Ntibaziyaremye Enock, Ruticumugambi Boniface, Siborurema Dominique, Ntiyanyibagiwe Daniel, Bayibarire Felicien na Ntahombaye Selevate.
7402	CIP Ruzindana yasoje asaba abaturiye amashyamba kuyacunga neza no kugaragaza umuntu wese unyuranya n’ibyo amategeko ateganya.
7403	Iyi nteko ngarukamwaka isanzwe iba mu rwego rwo kungurana ibitekerezo bagamije kurebera hamwe uko bakoze mu mwaka ushize, no gutegura ibizakorwa umwaka ukurikiyeho.
7404	Abatashye bagiye ari 160, ariko abagera kuri 14 bakaba basigayeyo bari guhugura abaje kubasimbura mu butumwa bari barahawe n’umuryango w’abibumbye muri Nyakanga 2015, nabo bakazaza nyuma y’ibyumweru bibiri.
7405	Iyi nzara rero yatewe n’uko imirima y’imyaka yose imvura yayijyanye, ikiro cy’ibirayi kuri ubu ni amafaranga 250, kandi ntikizagabanuka kubera ko nta mbuto y’ibirayi ihari ntaho yava.
7406	Abitabiriye umwiherero ni abakora mu bugenzuzi bw’umurimo, mu bashinzwe umutekano wo mu muhanda, abarwanya inyerezwa ry’imisoro, abagenzacyaha, abakora iperereza n’abandi.
7407	Mu butumwa bwe,Ntimugahugire mu gushaka amafaranga ngo mwibagirwe ko abana bakeneye inama zanyu.
7408	Ku runhande rw’abayobozi b’ibigo bagiye bemeza ko ubusanzwe ikigo ubwacyo aricyo kibiganiraho kikemeza niba hazajya hatangwa agahimbazamusyi gusa ibi byose babijyaho inama n’ababyeyi bafatanije kurera.
7409	Aya mahugurwa yateguwe na Minisiteri y’Ingabo yashojwe kuri uyu wa Kane tariki 21 Nyakanga 2016.
7410	Minisitiri w’Umutekano mu gihugu,Sheik Musa Fazil Harerimana niwe wayoboye uwo muhango.
7411	Aho waba uturutse hose, umuryango munini- main gate ubangikanye na roundabout isanzwe ya KBC, niwo uzakoreshwa n’abanyamaguru mu kwinjira no gusohoka.
7412	Ubu butumwa Minisitiri Kaboneka yabutangiye mu kagari ka Shori, mu murenge wa Gishamvu mu karere Huye, aho yari yasuye abaturage, mu ruzinduko rugamije kubakemurira ibibazo.
7413	Muri batanu bo mu karere ka Ruhango harimo umuyobozi umwe wo mu murenge wa Ntongwe, umuvuzi w’amatungo ndetse n’abaturage batatu.
7414	rw utemeye ko izina rye rijya mu itangazamakuru yagaragaje ko abangamiwe cyane no kuba yishyura amafaranga ataherewe inyemezabwishyu.
7415	Ntawe uzamubuza kurangura caguwa ariko ntibivuze ko havanywe ho Imisoro ya caguwa.
7416	Abafungiwe iki cyaha ni Bazimaziki Fidel ufite imyaka 36 y’amavuko,Tiyishimire Noel ufite imyaka 28 y’amavuko, Ntibagawe ufite imyaka 55 y’amavuko, na Tuyambaze Vincent ufite imyaka 19 y’amavuko.
7417	Mu bafashwe bakekwa harimo Mukamurenzi Viviane na Mushimiyimana Harima bafatiwe mu kagari ka Kanyove, mu mudugudu wa Gisenyi.
7418	yatanzwe n’u Buyapani mu gihe asigaye ari inkunga yatanzwe n’Umuryango w’Ubumwe bw’Ibihugu by’u Burayi, EU.
7419	Chief Superintendent CSP Sam Bugingo, umuyobozi wa ririya shami, yavuze ko iriya modoka yafashwe ku makuru yatanzwe n’abaturage bo muri Rubavu bayaha abari kuri bariyeri ku Mukamira.
